CPU TIME (ms) BEGIN (total = 36102578) Thu May 15 18:28:42 2014
rank   self  accum   count trace method
  85  0.17% 87.69%   39620 318967 java.lang.String.valueOf
  86  0.17% 87.86%   39620 318954 java.lang.StringBuilder.<init>
  87  0.17% 88.03%   39620 318813 java.lang.String.indexOf
  88  0.17% 88.20%   25470 318854 java.lang.Double.parseDouble
  89  0.17% 88.36%   39620 318979 java.lang.StringBuilder.toString
  90  0.17% 88.53%   39620 318972 java.lang.StringBuilder.append
  91  0.17% 88.70%   25472 319018 java.lang.Double.toString
  92  0.16% 88.86%   25472 319016 java.lang.String.<init>
  93  0.16% 89.02%   24190 318825 java.lang.Character.digit
  94  0.16% 89.18%   39620 318815 java.lang.String.lastIndexOf
  95  0.16% 89.34%   25472 319000 sun.misc.FloatingDecimal.<init>
  96  0.16% 89.50%    5660 318827 java.lang.Integer.parseInt
  97  0.15% 89.65%   42450 318808 java.util.Arrays.copyOfRange
  98  0.15% 89.79%    2264 319081 am.Corrector.predictPropertyValue
  99  0.13% 89.93%   39620 318977 java.util.Arrays.copyOfRange
 100  0.13% 90.06%   25441 318858 java.lang.Double.valueOf
 101  0.13% 90.19%   16974 318916 java.lang.Character.digit
 102  0.13% 90.31%   39620 318819 java.util.Arrays.copyOfRange
 103  0.13% 90.44%      39 322040 com.mysql.jdbc.CallableStatement.generateParameterMap
 104  0.12% 90.56%   25215 313152 java.lang.ThreadLocal$ThreadLocalMap.getEntry
 105  0.12% 90.69%    1932 320032 sun.reflect.ClassFileAssembler.emitConstantPoolUTF8
 106  0.12% 90.80%    1932 320026 sun.reflect.UTF8.encode
 107  0.12% 90.92%   40434 320083 sun.reflect.ByteVectorImpl.add
 108  0.11% 91.03%    1932 320023 sun.reflect.UTF8.utf8Length
 109  0.11% 91.14%     138 320144 sun.reflect.AccessorGenerator.emitBoxingContantPoolEntries
 110  0.11% 91.25%   25213 319024 java.lang.ThreadLocal$ThreadLocalMap.access$000
 111  0.11% 91.36%   17225 320398 sun.reflect.ClassFileAssembler.emitByte
 112  0.11% 91.47%   43416 319891 sun.reflect.ByteVectorImpl.add
 113  0.10% 91.57%    2830 318918 java.lang.Integer.parseInt
 114  0.10% 91.67%   42036 319886 java.lang.String.charAt
 115  0.10% 91.77%   23206 319074 java.lang.Double.valueOf
 116  0.10% 91.87%   42036 319889 java.lang.String.charAt
 117  0.10% 91.97%   25472 319019 java.lang.Double.toString
 118  0.10% 92.08%   23206 319073 java.lang.Double.<init>
 119  0.10% 92.17%      39 321061 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 120  0.10% 92.27%   24280 306044 java.lang.CharacterDataLatin1.digit
 121  0.09% 92.37%    8488 318965 java.lang.Integer.toString
 122  0.09% 92.46%   25441 318857 java.lang.Double.<init>
 123  0.09% 92.55%       6 321202 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 124  0.09% 92.64%   24190 318826 java.lang.Character.digit
 125  0.09% 92.73%   23206 319072 java.lang.Number.<init>
 126  0.09% 92.82%   25441 318856 java.lang.Number.<init>
 127  0.09% 92.91%   36018 320077 java.lang.String.charAt
 128  0.09% 92.99%   25472 319015 java.util.Arrays.copyOfRange
 129  0.08% 93.08%   36018 320081 java.lang.String.charAt
 130  0.08% 93.16%   38640 320027 sun.reflect.ByteVectorImpl.add
 131  0.08% 93.24%   25441 318850 sun.misc.FloatingDecimal.<init>
 132  0.08% 93.32%       5 321281 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 133  0.08% 93.40%   17428 313321 java.lang.StrictMath.floorOrCeil
 134  0.08% 93.48%       4 321328 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 135  0.08% 93.55%      39 322015 com.mysql.jdbc.CallableStatement.fakeParameterTypes
 136  0.07% 93.63%   39620 318970 java.lang.String.getChars
 137  0.07% 93.70%   17433 313320 java.lang.Math.getExponent
 138  0.07% 93.77%   17427 318996 java.lang.Math.floor
 139  0.07% 93.84%   42450 318805 java.io.BufferedReader.ensureOpen
 140  0.07% 93.91%   16974 318915 java.lang.CharacterDataLatin1.digit
 141  0.07% 93.98%   39620 318969 java.lang.AbstractStringBuilder.ensureCapacityInternal
 142  0.07% 94.05%    8832 320086 sun.reflect.ClassFileAssembler.emitByte
 143  0.07% 94.12%    8832 320107 sun.reflect.ClassFileAssembler.emitByte
 144  0.07% 94.19%      30 321271 com.mysql.jdbc.CallableStatement.generateParameterMap
 145  0.07% 94.26%   36708 320022 java.lang.String.charAt
 146  0.07% 94.32%   16974 318917 java.lang.Character.digit
 147  0.06% 94.39%     138 320488 java.lang.ClassLoader$ParallelLoaders.isRegistered
 148  0.06% 94.45%       6 321157 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 149  0.06% 94.51%   39620 318812 java.lang.String.indexOf
 150  0.06% 94.58%   36708 320025 java.lang.String.charAt
 151  0.06% 94.64%   39620 318968 java.lang.String.length
 152  0.06% 94.70%   41300 301345 java.lang.CharacterDataLatin1.getProperties
 153  0.06% 94.76%   17428 313322 java.lang.StrictMath.floor
 154  0.06% 94.82%   39620 318814 java.lang.String.lastIndexOf
 155  0.06% 94.88%    8832 320100 sun.reflect.ClassFileAssembler.emitByte
 156  0.06% 94.94%    4416 320101 sun.reflect.ClassFileAssembler.emitShort
 157  0.06% 95.00%   25472 319012 sun.misc.FloatingDecimal.getChars
 158  0.06% 95.06%   32828 319076 java.lang.Double.doubleValue
 159  0.06% 95.12%     138 320449 sun.reflect.MethodAccessorGenerator.emitInvoke
 160  0.06% 95.18%       5 320869 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 161  0.06% 95.23%    4416 320108 sun.reflect.ClassFileAssembler.emitShort
 162  0.05% 95.29%       4 321295 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 163  0.05% 95.34%   25441 318853 sun.misc.FloatingDecimal.doubleValue
 164  0.05% 95.40%    4416 320087 sun.reflect.ClassFileAssembler.emitShort
 165  0.05% 95.45%   29848 318824 java.lang.String.charAt
 166  0.05% 95.50%   25219 313150 java.lang.ThreadLocal.access$400
 167  0.04% 95.54%   25470 318845 java.lang.String.trim
 168  0.04% 95.58%     285 319270 am.Worker.run
 169  0.04% 95.62%     283 319334 java.lang.System.gc
 170  0.04% 95.66%   17915 320186 sun.reflect.ByteVectorImpl.add
 171  0.04% 95.70%   25470 318846 java.lang.String.length
 172  0.04% 95.74%   25472 319001 java.lang.ThreadLocal.getMap
 173  0.04% 95.78%   17225 320397 sun.reflect.ByteVectorImpl.get
 174  0.04% 95.82%    8488 318966 java.lang.Integer.toString
 175  0.04% 95.86%       5 321304 com.mysql.jdbc.CallableStatement.generateParameterMap
 176  0.04% 95.89%       1 320401 java.util.concurrent.locks.LockSupport.parkNanos
 177  0.04% 95.93%   24280 306043 java.lang.CharacterData.of
 178  0.04% 95.96%       3 320855 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 179  0.03% 96.00%    2208 320102 sun.reflect.ClassFileAssembler.emitConstantPoolNameAndType
 180  0.03% 96.03%      30 321267 com.mysql.jdbc.CallableStatement.fakeParameterTypes
 181  0.03% 96.06%    8488 318964 java.lang.String.<init>
 182  0.03% 96.10%   17501 320396 sun.reflect.ByteVectorImpl.getLength
 183  0.03% 96.13%   12144 320089 sun.reflect.ClassFileAssembler.cpi
 184  0.03% 96.16%   19803 318913 java.lang.String.charAt
 185  0.03% 96.19%       2 321356 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 186  0.03% 96.22%   17438 313319 sun.misc.FpUtils.getExponent
 187  0.03% 96.25%    2208 320109 sun.reflect.ClassFileAssembler.emitConstantPoolMethodref
 188  0.03% 96.28%     284 317303 com.mysql.jdbc.ConnectionImpl.getCharsetConverter
 189  0.03% 96.31%       3 321052 com.mysql.jdbc.CallableStatement.fakeParameterTypes
 190  0.03% 96.34%   19368 318994 sun.misc.FloatingDecimal.countBits
 191  0.03% 96.36%       3 321115 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 192  0.03% 96.39%    2830 318935 am.Corrector.correctTemperature
 193  0.03% 96.42%       1 321026 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 194  0.03% 96.45%    8832 320106 sun.reflect.ByteVectorImpl.add
 195  0.03% 96.47%   16974 318914 java.lang.CharacterData.of
 196  0.03% 96.50%    8832 320085 sun.reflect.ByteVectorImpl.add
 197  0.03% 96.53%    2830 318950 am.Corrector.validate
 198  0.03% 96.55%       2 321436 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 199  0.03% 96.58%    5660 318828 java.lang.Integer.parseInt
 200  0.02% 96.60%       5 320901 com.mysql.jdbc.CallableStatement.fakeParameterTypes
 201  0.02% 96.62%     138 320074 sun.reflect.AccessorGenerator.emitCommonConstantPoolEntries
 202  0.02% 96.65%       9 321585 com.mysql.jdbc.CallableStatement.generateParameterMap
 203  0.02% 96.67%    8487 318832 java.lang.Integer.valueOf
 204  0.02% 96.70%    3312 320387 sun.reflect.ClassFileAssembler.emitByte
 205  0.02% 96.72%    3679 318796 java.lang.String.<init>
 206  0.02% 96.74%    3679 318797 java.io.BufferedReader.readLine
 207  0.02% 96.76%     827 320262 sun.reflect.ClassFileAssembler.opc_invokespecial
 208  0.02% 96.78%    2208 319822 sun.reflect.ClassFileAssembler.emitByte
 209  0.02% 96.80%    3864 320030 sun.reflect.ClassFileAssembler.emitByte
 210  0.02% 96.82%    2208 320105 sun.reflect.ClassFileAssembler.emitByte
 211  0.02% 96.84%    8832 320099 sun.reflect.ByteVectorImpl.add
 212  0.02% 96.86%    4632 318830 java.lang.Number.<init>
 213  0.02% 96.88%       1 321555 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 214  0.02% 96.90%    5694 305521 java.lang.CharacterDataLatin1.toUpperCase
 215  0.02% 96.92%       1 321541 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 216  0.02% 96.93%    3312 320058 sun.reflect.ClassFileAssembler.emitByte
 217  0.02% 96.95%     286 318532 java.net.DualStackPlainSocketImpl.socketAccept
 218  0.02% 96.97%    1241 319941 java.lang.AbstractStringBuilder.append
 219  0.02% 96.99%       1 321527 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 220  0.02% 97.01%    2484 320175 sun.reflect.ClassFileAssembler.emitByte
 221  0.02% 97.02%    2208 320098 sun.reflect.ClassFileAssembler.emitByte
 222  0.02% 97.04%       1 321513 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 223  0.02% 97.06%    1656 320381 sun.reflect.ClassFileAssembler.emitShort
 224  0.02% 97.08%    3312 320380 sun.reflect.ClassFileAssembler.emitByte
 225  0.02% 97.09%    3676 300048 java.util.Arrays.copyOf
 226  0.02% 97.11%    2760 319894 sun.reflect.ClassFileAssembler.emitByte
 227  0.02% 97.13%    4632 318831 java.lang.Integer.<init>
 228  0.02% 97.14%    2069 303366 java.lang.ref.ReferenceQueue.reallyPoll
 229  0.02% 97.16%     689 319967 sun.reflect.AccessorGenerator.getClassName
 230  0.02% 97.17%     150 317319 com.mysql.jdbc.StatementImpl.<init>
 231  0.02% 97.19%       1 321485 com.mysql.jdbc.PreparedStatement.initializeFromParseInfo
 232  0.01% 97.21%    1104 320094 sun.reflect.ClassFileAssembler.emitShort
 233  0.01% 97.22%    1104 320095 sun.reflect.ClassFileAssembler.emitConstantPoolClass
